Fold,Model,k,AUPRC,MCC,Threshold,PR_Curve,MCC_Curve,Ensemble
1,svm,5,0.88787461515394,0.2851906764671419,0.77,"(array([1.        , 0.99346405, 0.9869281 , 0.9869281 , 0.98039216,
       0.97385621, 0.96732026, 0.96078431, 0.95424837, 0.94771242,
       0.94117647, 0.94117647, 0.94117647, 0.93464052, 0.92810458,
       0.92156863, 0.91503268, 0.91503268, 0.90849673, 0.90196078,
       0.89542484, 0.88888889, 0.88235294, 0.88235294, 0.86928105,
       0.86928105, 0.8627451 , 0.8627451 , 0.85620915, 0.8496732 ,
       0.84313725, 0.84313725, 0.83660131, 0.83006536, 0.82352941,
       0.81699346, 0.81699346, 0.81699346, 0.81045752, 0.81045752,
       0.81045752, 0.80392157, 0.79738562, 0.79738562, 0.79738562,
       0.79084967, 0.78431373, 0.78431373, 0.78431373, 0.77777778,
       0.77124183, 0.77124183, 0.77124183, 0.77124183, 0.77124183,
       0.76470588, 0.75816993, 0.75163399, 0.75163399, 0.75163399,
       0.75163399, 0.74509804, 0.73856209, 0.73202614, 0.7254902 ,
       0.71895425, 0.7124183 , 0.70588235, 0.69934641, 0.69934641,
       0.69281046, 0.68627451, 0.67973856, 0.67320261, 0.66666667,
       0.66013072, 0.65359477, 0.64705882, 0.64052288, 0.63398693,
       0.63398693, 0.62745098, 0.62091503, 0.61437908, 0.60784314,
       0.60784314, 0.60130719, 0.59477124, 0.58823529, 0.58169935,
       0.5751634 , 0.56862745, 0.5620915 , 0.55555556, 0.54901961,
       0.54248366, 0.53594771, 0.52941176, 0.52287582, 0.52287582,
       0.51633987, 0.50980392, 0.50980392, 0.50326797, 0.49673203,
       0.49019608, 0.48366013, 0.47712418, 0.47058824, 0.47058824,
       0.46405229, 0.46405229, 0.46405229, 0.45751634, 0.45098039,
       0.44444444, 0.4379085 , 0.4379085 , 0.43137255, 0.4248366 ,
       0.41830065, 0.41176471, 0.40522876, 0.39869281, 0.39869281,
       0.39215686, 0.39215686, 0.38562092, 0.38562092, 0.37908497,
       0.37254902, 0.36601307, 0.35947712, 0.35294118, 0.34640523,
       0.33986928, 0.33333333, 0.33333333, 0.32679739, 0.32026144,
       0.31372549, 0.31372549, 0.30718954, 0.30065359, 0.29411765,
       0.2875817 , 0.2875817 , 0.2875817 , 0.28104575, 0.28104575,
       0.2745098 , 0.26797386, 0.26143791, 0.25490196, 0.24836601,
       0.24183007, 0.23529412, 0.22875817, 0.22222222, 0.22222222,
       0.21568627, 0.20915033, 0.20261438, 0.19607843, 0.18954248,
       0.18300654, 0.17647059, 0.16993464, 0.16339869, 0.15686275,
       0.1503268 , 0.14379085, 0.1372549 , 0.13071895, 0.12418301,
       0.11764706, 0.11111111, 0.10457516, 0.09803922, 0.09150327,
       0.08496732, 0.07843137, 0.07189542, 0.06535948, 0.05882353,
       0.05228758, 0.04575163, 0.03921569, 0.03267974, 0.02614379,
       0.01960784, 0.0130719 , 0.00653595, 0.        ]), array([0.78865979, 0.78756477, 0.78645833, 0.79057592, 0.78947368,
       0.78835979, 0.78723404, 0.78609626, 0.78494624, 0.78378378,
       0.7826087 , 0.78688525, 0.79120879, 0.79005525, 0.78888889,
       0.7877095 , 0.78651685, 0.79096045, 0.78977273, 0.78857143,
       0.78735632, 0.78612717, 0.78488372, 0.78947368, 0.78698225,
       0.79166667, 0.79041916, 0.79518072, 0.79393939, 0.79268293,
       0.79141104, 0.7962963 , 0.79503106, 0.79375   , 0.79245283,
       0.79113924, 0.79617834, 0.80128205, 0.8       , 0.80519481,
       0.81045752, 0.80921053, 0.80794702, 0.81333333, 0.81879195,
       0.81756757, 0.81632653, 0.82191781, 0.82758621, 0.82638889,
       0.82517483, 0.83098592, 0.83687943, 0.84285714, 0.84892086,
       0.84782609, 0.84671533, 0.84558824, 0.85185185, 0.85820896,
       0.86466165, 0.86363636, 0.86259542, 0.86153846, 0.86046512,
       0.859375  , 0.85826772, 0.85714286, 0.856     , 0.86290323,
       0.86178862, 0.86065574, 0.85950413, 0.85833333, 0.85714286,
       0.8559322 , 0.85470085, 0.85344828, 0.85217391, 0.85087719,
       0.85840708, 0.85714286, 0.85585586, 0.85454545, 0.85321101,
       0.86111111, 0.85981308, 0.85849057, 0.85714286, 0.85576923,
       0.85436893, 0.85294118, 0.85148515, 0.85      , 0.84848485,
       0.84693878, 0.84536082, 0.84375   , 0.84210526, 0.85106383,
       0.84946237, 0.84782609, 0.85714286, 0.85555556, 0.85393258,
       0.85227273, 0.85057471, 0.84883721, 0.84705882, 0.85714286,
       0.85542169, 0.86585366, 0.87654321, 0.875     , 0.87341772,
       0.87179487, 0.87012987, 0.88157895, 0.88      , 0.87837838,
       0.87671233, 0.875     , 0.87323944, 0.87142857, 0.88405797,
       0.88235294, 0.89552239, 0.89393939, 0.90769231, 0.90625   ,
       0.9047619 , 0.90322581, 0.90163934, 0.9       , 0.89830508,
       0.89655172, 0.89473684, 0.91071429, 0.90909091, 0.90740741,
       0.90566038, 0.92307692, 0.92156863, 0.92      , 0.91836735,
       0.91666667, 0.93617021, 0.95652174, 0.95555556, 0.97727273,
       0.97674419, 0.97619048, 0.97560976, 0.975     , 0.97435897,
       0.97368421, 0.97297297, 0.97222222, 0.97142857, 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        ]))","(array([0.  , 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1 ,
       0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2 , 0.21,
       0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3 , 0.31, 0.32,
       0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4 , 0.41, 0.42, 0.43,
       0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5 , 0.51, 0.52, 0.53, 0.54,
       0.55, 0.56, 0.57, 0.58, 0.59, 0.6 , 0.61, 0.62, 0.63, 0.64, 0.65,
       0.66, 0.67, 0.68, 0.69, 0.7 , 0.71, 0.72, 0.73, 0.74, 0.75, 0.76,
       0.77, 0.78, 0.79, 0.8 , 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87,
       0.88, 0.89, 0.9 , 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98,
       0.99, 1.  ]), [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07047887543687402, 0.07047887543687402, 0.07047887543687402, 0.07047887543687402, 0.07047887543687402, 0.03586472361874532, 0.07285180925920558, 0.07285180925920558, 0.07285180925920558, 0.05112133640102258, 0.03301208295724658, 0.017416368395993885, 0.017416368395993885, 0.017416368395993885, 0.003658753565027611, -0.008700917081486252, -0.008700917081486252, -0.008700917081486252, -0.019964428458974056, 0.04758034238009188, 0.025174849796921226, 0.014967150066621984, 0.02846619274950306, 0.02846619274950306, 0.019192357133646018, 0.010312534714817983, 0.03154575876506521, 0.03154575876506521, 0.03154575876506521, 0.03154575876506521, 0.03154575876506521, 0.04278633590085585, 0.06148974648155405, 0.045138442991247106, 0.06295663807148351, 0.04750950285095033, 0.032794143393391526, 0.032794143393391526, 0.032794143393391526, 0.08108546209455464, 0.10514086957539359, 0.10514086957539359, 0.12754312070745588, 0.14962592140765082, 0.14962592140765082, 0.14224282522552842, 0.14224282522552842, 0.14224282522552842, 0.17800693157999348, 0.1846343730890001, 0.1846343730890001, 0.1846343730890001, 0.20543761819389794, 0.2464481786377087, 0.23216767116013134, 0.23216767116013134, 0.2453355006963448, 0.2851906764671419, 0.26462806201248157, 0.2579533585999334, 0.2513615771353471, 0.2384116762142533, 0.23204641392464162, 0.2516750922174856, 0.23912603394006626, 0.2268284285753431, 0.22076665558711359, 0.21475923792984808, 0.20880354654531477, 0.202897040189386, 0.19703725953882853, 0.19921080052619533, 0.20170625127343966, 0.19611948335347484, 0.1850370111037013, 0.15777547711816906, 0.15062442463455453, 0.14827440825764251, 0.1732969765038291, 0.22775557269188548, 0.0])","[{'model': 'svm', 'k': 5, 'params': {'C': 10.0, 'gamma': 0.05}}]"
2,svm,5,0.9401242117013573,0.3568786027917889,0.8300000000000001,"(array([1.        , 0.99404762, 0.98809524, 0.98809524, 0.98809524,
       0.98809524, 0.98214286, 0.97619048, 0.9702381 , 0.9702381 ,
       0.9702381 , 0.9702381 , 0.96428571, 0.96428571, 0.95833333,
       0.95238095, 0.94642857, 0.94047619, 0.93452381, 0.92857143,
       0.92857143, 0.92261905, 0.91666667, 0.91071429, 0.91071429,
       0.9047619 , 0.89880952, 0.89285714, 0.89285714, 0.88690476,
       0.88095238, 0.875     , 0.86904762, 0.86309524, 0.85714286,
       0.85714286, 0.85119048, 0.8452381 , 0.83928571, 0.83333333,
       0.83333333, 0.83333333, 0.83333333, 0.82738095, 0.82142857,
       0.82142857, 0.82142857, 0.81547619, 0.80952381, 0.80357143,
       0.79761905, 0.79166667, 0.78571429, 0.7797619 , 0.77380952,
       0.76785714, 0.76190476, 0.75595238, 0.75595238, 0.75      ,
       0.74404762, 0.73809524, 0.73214286, 0.72619048, 0.7202381 ,
       0.71428571, 0.70833333, 0.70238095, 0.69642857, 0.69047619,
       0.68452381, 0.67857143, 0.67261905, 0.66666667, 0.66071429,
       0.6547619 , 0.64880952, 0.64285714, 0.63690476, 0.63690476,
       0.63095238, 0.625     , 0.61904762, 0.61904762, 0.61309524,
       0.60714286, 0.60119048, 0.5952381 , 0.58928571, 0.58333333,
       0.57738095, 0.57142857, 0.56547619, 0.56547619, 0.55952381,
       0.55357143, 0.54761905, 0.54166667, 0.53571429, 0.5297619 ,
       0.52380952, 0.51785714, 0.51190476, 0.50595238, 0.5       ,
       0.49404762, 0.48809524, 0.48214286, 0.48214286, 0.47619048,
       0.4702381 , 0.46428571, 0.46428571, 0.45833333, 0.45238095,
       0.44642857, 0.44047619, 0.43452381, 0.42857143, 0.42261905,
       0.41666667, 0.41071429, 0.4047619 , 0.39880952, 0.39880952,
       0.39285714, 0.39285714, 0.38690476, 0.38095238, 0.375     ,
       0.36904762, 0.36309524, 0.35714286, 0.33928571, 0.33333333,
       0.32738095, 0.32142857, 0.31547619, 0.30952381, 0.30357143,
       0.29761905, 0.29166667, 0.28571429, 0.2797619 , 0.27380952,
       0.26785714, 0.26190476, 0.25595238, 0.25      , 0.24404762,
       0.23809524, 0.23214286, 0.22619048, 0.2202381 , 0.21428571,
       0.20833333, 0.20238095, 0.19642857, 0.19047619, 0.18452381,
       0.17857143, 0.17261905, 0.16666667, 0.16666667, 0.16071429,
       0.1547619 , 0.14880952, 0.14285714, 0.13690476, 0.13095238,
       0.125     , 0.11904762, 0.11309524, 0.10714286, 0.10119048,
       0.0952381 , 0.0952381 , 0.08928571, 0.08333333, 0.07738095,
       0.07142857, 0.06547619, 0.05952381, 0.05357143, 0.04761905,
       0.04166667, 0.03571429, 0.0297619 , 0.02380952, 0.01785714,
       0.01190476, 0.00595238, 0.        ]), array([0.86153846, 0.86082474, 0.86010363, 0.86458333, 0.86910995,
       0.87368421, 0.87301587, 0.87234043, 0.87165775, 0.87634409,
       0.88108108, 0.88586957, 0.8852459 , 0.89010989, 0.88950276,
       0.88888889, 0.88826816, 0.88764045, 0.88700565, 0.89142857,
       0.89655172, 0.89595376, 0.89534884, 0.89473684, 0.9       ,
       0.89940828, 0.89880952, 0.89820359, 0.90361446, 0.9030303 ,
       0.90243902, 0.90184049, 0.90123457, 0.90062112, 0.9       ,
       0.90566038, 0.90506329, 0.9044586 , 0.90384615, 0.90322581,
       0.90909091, 0.91503268, 0.92105263, 0.9205298 , 0.92      ,
       0.9261745 , 0.93243243, 0.93197279, 0.93150685, 0.93103448,
       0.93055556, 0.93006993, 0.92957746, 0.92907801, 0.92857143,
       0.92805755, 0.92753623, 0.9270073 , 0.93382353, 0.93333333,
       0.93283582, 0.93233083, 0.93181818, 0.93129771, 0.93076923,
       0.93023256, 0.9296875 , 0.92913386, 0.92857143, 0.928     ,
       0.92741935, 0.92682927, 0.92622951, 0.92561983, 0.925     ,
       0.92436975, 0.92372881, 0.92307692, 0.92241379, 0.93043478,
       0.92982456, 0.92920354, 0.92857143, 0.93693694, 0.93636364,
       0.93577982, 0.93518519, 0.93457944, 0.93396226, 0.93333333,
       0.93269231, 0.93203883, 0.93137255, 0.94059406, 0.94      ,
       0.93939394, 0.93877551, 0.93814433, 0.9375    , 0.93684211,
       0.93617021, 0.93548387, 0.93478261, 0.93406593, 0.93333333,
       0.93258427, 0.93181818, 0.93103448, 0.94186047, 0.94117647,
       0.94047619, 0.93975904, 0.95121951, 0.95061728, 0.95      ,
       0.94936709, 0.94871795, 0.94805195, 0.94736842, 0.94666667,
       0.94594595, 0.94520548, 0.94444444, 0.94366197, 0.95714286,
       0.95652174, 0.97058824, 0.97014925, 0.96969697, 0.96923077,
       0.96875   , 0.96825397, 0.96774194, 0.96610169, 0.96551724,
       0.96491228, 0.96428571, 0.96363636, 0.96296296, 0.96226415,
       0.96153846, 0.96078431, 0.96      , 0.95918367, 0.95833333,
       0.95744681, 0.95652174, 0.95555556, 0.95454545, 0.95348837,
       0.95238095, 0.95121951, 0.95      , 0.94871795, 0.94736842,
       0.94594595, 0.94444444, 0.94285714, 0.94117647, 0.93939394,
       0.9375    , 0.93548387, 0.93333333, 0.96551724, 0.96428571,
       0.96296296, 0.96153846, 0.96      , 0.95833333, 0.95652174,
       0.95454545, 0.95238095, 0.95      , 0.94736842, 0.94444444,
       0.94117647, 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        , 1.        , 1.        ,
       1.        , 1.        , 1.        ]))","(array([0.  , 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1 ,
       0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2 , 0.21,
       0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3 , 0.31, 0.32,
       0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4 , 0.41, 0.42, 0.43,
       0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5 , 0.51, 0.52, 0.53, 0.54,
       0.55, 0.56, 0.57, 0.58, 0.59, 0.6 , 0.61, 0.62, 0.63, 0.64, 0.65,
       0.66, 0.67, 0.68, 0.69, 0.7 , 0.71, 0.72, 0.73, 0.74, 0.75, 0.76,
       0.77, 0.78, 0.79, 0.8 , 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87,
       0.88, 0.89, 0.9 , 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98,
       0.99, 1.  ]), [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028782358367000112, -0.028782358367000112, -0.028782358367000112, -0.040809717134320744, -0.040809717134320744, 0.07052727217133421, 0.07052727217133421, 0.07052727217133421, 0.07052727217133421, 0.15148370064095015, 0.21677749238103, 0.1865079365079365, 0.1865079365079365, 0.1865079365079365, 0.1865079365079365, 0.1865079365079365, 0.1865079365079365, 0.1865079365079365, 0.1416524356608379, 0.19487675347064176, 0.19487675347064176, 0.19487675347064176, 0.19487675347064176, 0.2433698250171367, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2881193767663155, 0.2680511484080857, 0.2680511484080857, 0.30952380952380953, 0.30952380952380953, 0.30952380952380953, 0.2911235406134735, 0.2911235406134735, 0.2743170665992745, 0.23122216665284845, 0.23122216665284845, 0.2918069599925101, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.2677000116900396, 0.290388355182154, 0.2592570366136952, 0.291465758930727, 0.2723757568974105, 0.2723757568974105, 0.2723757568974105, 0.24623832215057978, 0.24623832215057978, 0.24623832215057978, 0.24623832215057978, 0.24623832215057978, 0.26847247215288833, 0.2525906193349367, 0.2525906193349367, 0.2525906193349367, 0.2525906193349367, 0.26683291196387293, 0.26683291196387293, 0.31640874897941995, 0.30903502310036884, 0.3368115802119763, 0.3368115802119763, 0.3568786027917889, 0.34265496456349637, 0.33577697764796344, 0.32244991628604935, 0.32244991628604935, 0.2973236580924304, 0.30595602877638944, 0.30020262724961994, 0.28896519866835085, 0.2674623239876259, 0.2372502742913673, 0.23455263352482406, 0.24199589626804346, 0.22884284664440377, 0.23307361127050977, 0.19245008972987526, 0.20609467411177057, 0.0])","[{'model': 'svm', 'k': 5, 'params': {'C': 1.0, 'gamma': 0.05}}]"
